date,portfolio,ret
2011-05-20,high,0.004695825947822581
2011-05-23,low,-0.009610688897262949
2011-05-23,high,-0.010171141417803798
2011-05-24,low,0.004316428148061875
2011-05-24,high,0.0017985490969163462
2011-05-25,low,0.013093234644623121
2011-05-25,high,0.01849774999705534
2011-05-26,low,-0.00025149800265145426
2011-05-26,high,0.004305021449234485
2011-05-27,low,0.004099581350181194
2011-05-27,high,0.0072577973652232725
2011-05-31,low,0.0036750609442976552
2011-05-31,high,0.010591806922610325
2011-06-01,low,-0.007568438510770258
2011-06-01,high,-0.012110024898392453
2011-06-02,low,0.004112924249595458
2011-06-02,high,0.00598365038667335
2011-06-03,low,0.0016263873428074816
2011-06-03,high,0.0033685882035616975
2011-06-06,low,-0.004928926186677566
2011-06-06,high,-0.013995746041680746
2011-06-07,low,0.0031694485901600034
2011-06-07,high,0.00727324222932274
2011-06-08,low,0.003852075603984674
2011-06-08,high,0.007770881228690306
2011-06-09,low,0.0022161767008049547
2011-06-09,high,0.017516095883973497
2011-06-10,low,-0.0019939015704269003
2011-06-10,high,-0.0031791465669777103
2011-06-13,low,-0.006987972488967559
2011-06-13,high,-0.003621127677884065
2011-06-14,low,0.0017631749806034326
2011-06-14,high,-0.0007457566787636843
2011-06-15,low,-0.006947557098864562
2011-06-15,high,-0.02478718812427411
2011-06-16,low,-0.007733560161790163
2011-06-16,high,-0.01215595289414284
2011-06-17,low,-0.0015702509447784348
2011-06-17,high,-0.00585759381294108
2011-06-20,low,0.005482148432409218
2011-06-20,high,0.0020708572677994746
2011-06-21,low,0.011227662878514762
2011-06-21,high,0.010702264456111091
2011-06-22,low,-0.006742818085965692
2011-06-22,high,0.0042163354060753555
2011-06-23,low,-0.014188736787262186
2011-06-23,high,-0.01826779041387702
2011-06-24,low,-0.004633910935812741
2011-06-24,high,-0.005417452251620908
2011-06-27,low,-0.004551254382180224
2011-06-27,high,-0.005057254049721894
2011-06-28,low,0.010181832471659933
2011-06-28,high,0.018593690467702546
2011-06-29,low,0.00907982479821011
2011-06-29,high,0.019420013242413704
2011-06-30,low,-0.008173089579335182
2011-06-30,high,-0.012963555665936965
2011-07-01,low,0.00306804542858552
2011-07-01,high,-0.0050501904846672096
2011-07-05,low,0.014152860643852115
2011-07-05,high,0.01896448263199479
2011-07-06,low,-0.0048304758151355995
2011-07-06,high,-0.0007006602951370131
2011-07-07,low,0.010067576175646742
2011-07-07,high,0.008451698669339586
2011-07-08,low,0.0007158113683225492
2011-07-08,high,-0.007207202381069407
2011-07-11,low,-0.002620022686950364
2011-07-11,high,-0.01311507437376933
2011-07-12,low,0.00934531845424915
2011-07-12,high,0.00226762226742001
2011-07-13,low,0.015569635641919247
2011-07-13,high,0.022091071663151354
2011-07-14,low,-0.009761166607587366
2011-07-14,high,-0.005243874004622509
2011-07-15,low,0.0010910013919620898
2011-07-15,high,-0.0021281967818751342
2011-07-18,low,-0.0020667179983405895
2011-07-18,high,-0.0015574156979499666
2011-07-19,low,0.00822605107061212
2011-07-19,high,0.0020708604399818234
2011-07-20,low,-0.002441686561601721
2011-07-20,high,-0.0010718306662407437
2011-07-21,low,-0.005347427382763021
2011-07-21,high,-0.00271890582216864
2011-07-22,low,0.0050484571855685684
2011-07-22,high,0.01172969150066251
2011-07-25,low,-0.005117368323308345
2011-07-25,high,-0.0037457890957541193
2011-07-26,low,0.00903756805683199
2011-07-26,high,0.011039837107547183
2011-07-27,low,-7.336827344749882e-05
2011-07-27,high,-0.00292834802074398
